---,SkillEffectID,StatusEffectID,FlightType,HitType,Speed,Lifetime,Amount,Range,Cooldown,ExpireCondition
1,"EFFECT_FIREBALL","STATUS_BURN","EXPLODE","AREA","800.000000","5.000000","30.000000","400.000000","4.000000","OnExplosion"
2,"EFFECT_ICEBALL","STATUS_FREEZE","ARC","AREA","600.000000","4.000000","20.000000","800.000000","5.000000","OnExplosion"
3,"EFFECT_LIGHTNING","STATUS_SHOCK","HOMING","SINGLE","1200.000000","5.000000","15.000000","500.000000","0.000000","OnHit"
4,"EFFECT_ARROW","None","LINEAR","SINGLE","1500.000000","3.000000","25.000000","400.000000","4.000000","OnHit"
5,"EFFECT_PIERCE","None","PIERCE","PIERCE","1000.000000","3.000000","20.000000","600.000000","5.000000","OnPierceCount"
6,"EFFECT_HOMING_ARROW","None","HOMING","SINGLE","1200.000000","5.000000","10.000000","450.000000","6.000000","OnHit"
7,"EFFECT_INSTANT_HEAL","None","LINEAR","SINGLE","0.000000","0.000000","50.000000","0.000000","3.000000","OnHit"
8,"EFFECT_DURATION_HEAL","None","LINEAR","SINGLE","0.000000","0.000000","15.000000","0.000000","4.000000","OnHit"
9,"EFFECT_DEBUFF_POISON","None","LINEAR","SINGLE","0.000000","0.000000","10.000000","600.000000","5.000000","OnHit"
10,"EFFECT_INSTANT_ATTACK","None","LINEAR","SINGLE","0.000000","0.000000","12.000000","0.000000","3.000000","OnHit"
11,"EFFECT_ENEMY_RANGED_SHOOT","None","LINEAR","SINGLE","1200.000000","2.000000","70.000000","800.000000","5.000000","OnHit"
12,"EFFECT_RAPIDSLASH","None","LINEAR","AREA","800.000000","1.000000","30.000000","200.000000","5.000000","OnHit"
13,"EFFECT_ATTACK_DEMONIA","None","LINEAR","SINGLE","0.000000","0.000000","0.000000","0.000000","0.000000","OnHit"
14,"EFFECT_ATTACK_ENCHANTER","None","LINEAR","SINGLE","0.000000","0.000000","0.000000","0.000000","0.000000","OnHit"
15,"EFFECT_ATTACK_GUARD","None","LINEAR","SINGLE","0.000000","0.000000","0.000000","0.000000","0.000000","OnHit"
16,"EFFECT_ATTACK_LOOTER","None","LINEAR","SINGLE","0.000000","0.000000","0.000000","0.000000","0.000000","OnHit"
17,"EFFECT_ATTACK_MUZZLE","None","LINEAR","SINGLE","0.000000","0.000000","0.000000","0.000000","0.000000","OnHit"
18,"EFFECT_ATTACK_THINKER","None","LINEAR","SINGLE","0.000000","0.000000","0.000000","0.000000","0.000000","OnHit"
19,"EFFECT_BLOODPOOL","None","LINEAR","AREA","0.000000","5.000000","1.000000","400.000000","2.000000","OnHit"
20,"EFFECT_HOMINGFAIRY","None","HOMING","SINGLE","1200.000000","5.000000","10.000000","600.000000","5.000000","OnHit"
21,"EFFECT_ANUBIS","None","LINEAR","SINGLE","0.000000","1.500000","1.000000","500.000000","3.000000","OnHit"
22,"EFFECT_ARMY","None","LINEAR","AREA","800.000000","0.000000","1.000000","200.000000","4.000000","OnHit"
23,"EFFECT_BINDER","None","LINEAR","AREA","800.000000","0.000000","1.000000","250.000000","5.000000","OnHit"
24,"EFFECT_DEMONIA","None","EXPLODE","AREA","1000.000000","5.000000","1.000000","400.000000","7.000000","OnHit"
25,"EFFECT_ENCHANTER","None","HOMING","SINGLE","1000.000000","5.000000","1.000000","500.000000","3.000000","OnHit"
26,"EFFECT_GUARD","None","HOMING","SINGLE","1000.000000","5.000000","1.000000","500.000000","3.000000","OnHit"
27,"EFFECT_HERMIT","None","LINEAR","SINGLE","800.000000","0.000000","1.000000","200.000000","5.000000","OnHit"
28,"EFFECT_HORNET","None","PIERCE","PIERCE","1000.000000","5.000000","3.000000","1500.000000","6.000000","OnHit"
29,"EFFECT_LOOTER","None","PIERCE","PIERCE","1000.000000","5.000000","3.000000","1500.000000","6.000000","OnHit"
30,"EFFECT_MAID","None","LINEAR","AREA","1000.000000","5.000000","1.000000","250.000000","5.000000","OnHit"
31,"EFFECT_MERRY","None","PIERCE","PIERCE","1000.000000","5.000000","3.000000","1500.000000","6.000000","OnHit"
32,"EFFECT_NOBLE","STATUS_SHOCK","HOMING","SINGLE","1500.000000","5.000000","15.000000","500.000000","7.000000","OnHit"
33,"EFFECT_OUTSIDER","STATUS_SHOCK","HOMING","SINGLE","1500.000000","5.000000","15.000000","500.000000","7.000000","OnHit"
34,"EFFECT_PIONEER","None","LINEAR","AREA","1000.000000","5.000000","1.000000","500.000000","4.000000","OnHit"
35,"EFFECT_ROGUE","None","LINEAR","SINGLE","1500.000000","5.000000","1.000000","500.000000","3.000000","OnHit"
36,"EFFECT_TINKER","None","LINEAR","SINGLE","1000.000000","5.000000","1.000000","500.000000","3.000000","OnHit"
37,"EFFECT_TUNER","None","LINEAR","AREA","1000.000000","5.000000","1.000000","300.000000","3.000000","OnHit"
38,"EFFECT_ENEMY_FELICE_NORMAL","None","LINEAR","SINGLE","0.000000","0.000000","0.000000","0.000000","3.000000","OnHit"
39,"EFFECT_ENEMY_FELICE_SPECIAL","None","LINEAR","SINGLE","0.000000","0.000000","0.000000","0.000000","5.000000","OnHit"
40,"EFFECT_ENEMY_CUPFELICE_NORMAL","None","LINEAR","SINGLE","1200.000000","1.500000","1.000000","800.000000","3.000000","OnHit"
