---,SkillEffectID,StatusEffectID,FlightType,HitType,Speed,Lifetime,Amount,Range,Cooldown,ExpireCondition
1,"EFFECT_FIREBALL","STATUS_BURN","EXPLODE","AREA","800.000000","5.000000","30.000000","400.000000","4.000000","OnExplosion"
2,"EFFECT_ICEBALL","STATUS_FREEZE","ARC","AREA","600.000000","4.000000","20.000000","800.000000","5.000000","OnExplosion"
3,"EFFECT_LIGHTNING","STATUS_SHOCK","HOMING","SINGLE","1200.000000","5.000000","15.000000","500.000000","0.000000","OnHit"
4,"EFFECT_ARROW","None","LINEAR","SINGLE","1500.000000","3.000000","25.000000","400.000000","4.000000","OnHit"
5,"EFFECT_PIERCE","None","PIERCE","PIERCE","1000.000000","3.000000","20.000000","600.000000","5.000000","OnPierceCount"
6,"EFFECT_HOMING_ARROW","None","HOMING","SINGLE","1200.000000","5.000000","10.000000","450.000000","6.000000","OnHit"
7,"EFFECT_INSTANT_HEAL","None","LINEAR","SINGLE","0.000000","0.000000","50.000000","0.000000","3.000000","OnHit"
8,"EFFECT_DURATION_HEAL","None","LINEAR","SINGLE","0.000000","0.000000","15.000000","0.000000","4.000000","OnHit"
9,"EFFECT_DEBUFF_POISON","None","LINEAR","SINGLE","0.000000","0.000000","10.000000","600.000000","5.000000","OnHit"
10,"EFFECT_INSTANT_ATTACK","None","LINEAR","SINGLE","0.000000","0.000000","12.000000","0.000000","3.000000","OnHit"
11,"EFFECT_RAPIDSLASH","None","LINEAR","AREA","0.000000","1.000000","30.000000","200.000000","5.000000","OnHit"
