---,ResourceID,SkillIcon,SpawnVFX,SpawnSFX,TrailVFX,ImpactVFX,ImpactSFX
1,"RESOURCE_ARROW","/Game/Assets/BlackStromAsset/UI/CommonUI/Img_Arrow06.Img_Arrow06","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Potion.NS_Potion","/Game/Assets/Sci-Fi_Shots_Pack2_Game_Of_Weapons/UsbaleWave/SciFi_Shot_P2__122_.SciFi_Shot_P2__122_","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Dark_Solo_Impact.NS_Dark_Solo_Impact","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/Sperate_VFX/NS_Magma_Shot_Projectile.NS_Magma_Shot_Projectile","/Game/Assets/Sci-Fi_Shots_Pack2_Game_Of_Weapons/UsbaleWave/SciFi_Shot_P2__140_.SciFi_Shot_P2__140_"
2,"RESOURCE_FIREBALL","/Game/Assets/BlackStromAsset/UI/CommonUI/Ico_Chinfo_Type_Fire.Ico_Chinfo_Type_Fire","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Gelmir_Wizard_Impact.NS_Gelmir_Wizard_Impact","/Game/Assets/Sci-Fi_Shots_Pack2_Game_Of_Weapons/UsbaleWave/SciFi_Shot_P2__110_.SciFi_Shot_P2__110_","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Gelmir_Wizard_Impact.NS_Gelmir_Wizard_Impact","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Gelmir_Fury.NS_Gelmir_Fury","/Game/Assets/Sci-Fi_Shots_Pack2_Game_Of_Weapons/UsbaleWave/SciFi_Shot_P2__180_.SciFi_Shot_P2__180_"
3,"RESOURCE_ICEBALL","/Game/Assets/BlackStromAsset/UI/Icon/Icon_Skill/Invaison_NaturalDisaster_02.Invaison_NaturalDisaster_02","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Magic_Bubbles.NS_Magic_Bubbles","/Game/Assets/Sci-Fi_Shots_Pack2_Game_Of_Weapons/UsableCue/SciFi_Shot_P2__110__Cue.SciFi_Shot_P2__110__Cue","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Potion.NS_Potion","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Big_Hammer_Impact.NS_Big_Hammer_Impact","/Game/Assets/Sci-Fi_Shots_Pack2_Game_Of_Weapons/UsbaleWave/SciFi_Shot_P2__139_.SciFi_Shot_P2__139_"
4,"RESOURCE_LIGHTNING","/Game/Assets/BlackStromAsset/UI/SceneBattle/Ingame/Common/Ico_Chinfo_Type_Lightning.Ico_Chinfo_Type_Lightning","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Lightning_Owner_Cast.NS_Lightning_Owner_Cast","/Game/Assets/Sci-Fi_Shots_Pack2_Game_Of_Weapons/UsbaleWave/SciFi_Shot_P2__110_.SciFi_Shot_P2__110_","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Lightning_Owner_Cast.NS_Lightning_Owner_Cast","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Lightning_Strike.NS_Lightning_Strike","/Game/Assets/Sci-Fi_Shots_Pack2_Game_Of_Weapons/UsbaleWave/SciFi_Shot_P2__168_.SciFi_Shot_P2__168_"
5,"RESOURCE_PIERCE","None","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Dark_Solo_Impact.NS_Dark_Solo_Impact","/Game/Assets/Sci-Fi_Shots_Pack2_Game_Of_Weapons/UsbaleWave/SciFi_Shot_P2__101_.SciFi_Shot_P2__101_","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Potion.NS_Potion","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Dark_Owner_Cast_Spell.NS_Dark_Owner_Cast_Spell","/Game/Assets/Sci-Fi_Shots_Pack2_Game_Of_Weapons/UsbaleWave/SciFi_Shot_P2__114_.SciFi_Shot_P2__114_"
6,"RESOURCE_HOMING_ARROW","None","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Potion.NS_Potion","/Game/Assets/Sci-Fi_Shots_Pack2_Game_Of_Weapons/UsbaleWave/SciFi_Shot_P2__122_.SciFi_Shot_P2__122_","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Dark_Solo_Impact.NS_Dark_Solo_Impact","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/Sperate_VFX/NS_Magma_Shot_Projectile.NS_Magma_Shot_Projectile","/Game/Assets/Sci-Fi_Shots_Pack2_Game_Of_Weapons/UsbaleWave/SciFi_Shot_P2__140_.SciFi_Shot_P2__140_"
7,"RESOURCE_INSTANT_HEAL","None","None","None","None","None","None"
8,"RESOURCE_DURATION_HEAL","None","None","None","None","None","None"
9,"RESOURCE_DEBUFF_POISON","None","None","None","None","None","None"
10,"RESOURCE_ENEMY_RANGED_SHOOT","None","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Magic_Big_Bubbles_Owner_Cast.NS_Magic_Big_Bubbles_Owner_Cast","None","None","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Lightning_Owner_Cast.NS_Lightning_Owner_Cast","None"
11,"RESOURCE_RAPIDSLASH","/Game/Assets/BlackStromAsset/UI/Character/CharacterSkills/Icon_PassiveSkill/Icon_PassiveSkill_Writer.Icon_PassiveSkill_Writer","/Game/Assets/Knife_light/VFX/NE_attack_WriterSkill.NE_attack_WriterSkill","None","None","/Game/Assets/ARPGEssentials/Effects/NS_aaaaaaaaa.NS_aaaaaaaaa","None"
12,"RESOURCE_ATTACK_DEMONIA","None","/Game/Assets/Hun0FX/StylizedVFX_v02/FX/NS_Shoot_Fire1.NS_Shoot_Fire1","None","None","/Game/Assets/Hun0FX/StylizedVFX_v02/FX/NS_AttackSkill_Fire1.NS_AttackSkill_Fire1","/Game/SFX/Character/99_Slash/Enchanter_TagSkill_Gem_Fall_Enhanced.Enchanter_TagSkill_Gem_Fall_Enhanced"
13,"RESOURCE_ATTACK_ENCHANTER","None","/Game/Assets/Hun0FX/StylizedVFX_v02/FX/NS_Shoot_Fire1.NS_Shoot_Fire1","None","None","/Game/Assets/Hun0FX/StylizedVFX_v02/FX/NS_AttackSkill_Fire1.NS_AttackSkill_Fire1","/Game/SFX/Character/99_Slash/Enchanter_TagSkill_Gem_Fall_Enhanced.Enchanter_TagSkill_Gem_Fall_Enhanced"
14,"RESOURCE_ATTACK_GUARD","None","/Game/Assets/Hun0FX/StylizedVFX_v02/FX/NS_Shoot_Fire1.NS_Shoot_Fire1","None","None","/Game/Assets/Hun0FX/StylizedVFX_v02/FX/NS_AttackSkill_Fire1.NS_AttackSkill_Fire1","/Game/SFX/Character/99_Slash/Enchanter_TagSkill_Gem_Fall_Enhanced.Enchanter_TagSkill_Gem_Fall_Enhanced"
15,"RESOURCE_ATTACK_LOOTER","None","/Game/Assets/Hun0FX/StylizedVFX_v02/FX/NS_Shoot_Fire1.NS_Shoot_Fire1","None","None","/Game/Assets/Hun0FX/StylizedVFX_v02/FX/NS_AttackSkill_Fire1.NS_AttackSkill_Fire1","/Game/SFX/Character/99_Slash/Enchanter_TagSkill_Gem_Fall_Enhanced.Enchanter_TagSkill_Gem_Fall_Enhanced"
16,"RESOURCE_ATTACK_MUZZLE","None","/Game/Assets/Hun0FX/StylizedVFX_v02/FX/NS_Shoot_Fire1.NS_Shoot_Fire1","None","None","/Game/Assets/Hun0FX/StylizedVFX_v02/FX/NS_AttackSkill_Fire1.NS_AttackSkill_Fire1","/Game/SFX/Character/99_Slash/Enchanter_TagSkill_Gem_Fall_Enhanced.Enchanter_TagSkill_Gem_Fall_Enhanced"
17,"RESOURCE_ATTACK_THINKER","None","/Game/Assets/Hun0FX/StylizedVFX_v02/FX/NS_Shoot_Fire1.NS_Shoot_Fire1","None","/Game/Assets/MixedVFX/Particles/Projectiles/NS_Projectile_01.NS_Projectile_01","/Game/Assets/Hun0FX/StylizedVFX_v02/FX/NS_AttackSkill_Fire1.NS_AttackSkill_Fire1","/Game/SFX/Character/99_Slash/Enchanter_TagSkill_Gem_Fall_Enhanced.Enchanter_TagSkill_Gem_Fall_Enhanced"
18,"RESOURCE_BLOODPOOL","/Game/Assets/BlackStromAsset/UI/Character/CharacterSkills/Icon_PassiveSkill/Icon_PassiveSkill_Nurse.Icon_PassiveSkill_Nurse","/Game/Assets/sA_BloodMagic_1/Fx/OptimizedEmissive/NS_Wave.NS_Wave","None","None","/Game/Assets/sA_BloodMagic_1/Fx/OptimizedEmissive/NS_SmokySphere.NS_SmokySphere","None"
19,"RESOURCE_HOMINGFAIRY","/Game/Assets/BlackStromAsset/UI/Character/CharacterSkills/Icon_PassiveSkill/Icon_PassiveSkill_Muzzle.Icon_PassiveSkill_Muzzle","/Game/Assets/Hun0FX/StylizedVFX_v02/FX/NS_Shoot_Muzzle.NS_Shoot_Muzzle","None","None","/Game/Assets/ARPGEssentials/Effects/NS_ChromaticSlash_OmniBurst.NS_ChromaticSlash_OmniBurst","None"
20,"RESOURCE_ANUBIS","/Game/Assets/BlackStromAsset/UI/Character/CharacterSkills/Icon_PassiveSkill/Icon_PassiveSkill_Anubis.Icon_PassiveSkill_Anubis","/Game/Assets/Hun0FX/StylizedVFX_v03/FX/NS_Smoke_03.NS_Smoke_03","None","None","/Game/Assets/Hun0FX/StylizedVFX_v03/FX/NS_Smoke_01.NS_Smoke_01","None"
21,"RESOURCE_ARMY","/Game/Assets/BlackStromAsset/UI/Character/CharacterSkills/Icon_PassiveSkill/Icon_PassiveSkill_Army.Icon_PassiveSkill_Army","/Game/Assets/Hun0FX/StylizedVFX_v03/FX/NS_hori_Slash_3.NS_hori_Slash_3","None","None","/Game/Assets/Hun0FX/StylizedVFX_v03/FX/NS_Hit_3.NS_Hit_3","None"
22,"RESOURCE_BINDER","/Game/Assets/BlackStromAsset/UI/Character/CharacterSkills/Icon_PassiveSkill/Icon_PassiveSkill_Binder.Icon_PassiveSkill_Binder","/Game/Assets/Hun0FX/StylizedVFX_v03/FX/NS_Pierce_2.NS_Pierce_2","None","None","/Game/Assets/Hun0FX/StylizedVFX_v03/FX/NS_Hit_1.NS_Hit_1","None"
23,"RESOURCE_DEMONIA","/Game/Assets/BlackStromAsset/UI/Character/CharacterSkills/Icon_PassiveSkill/Icon_PassiveSkill_Demonia.Icon_PassiveSkill_Demonia","/Game/Assets/ARPGEssentials/Effects/NS_ARPGEssentials_Impact_Parry_01.NS_ARPGEssentials_Impact_Parry_01","None","/Game/Assets/ARPGEssentials/Effects/NS_ARPGEssentials_Impact_Slash_01.NS_ARPGEssentials_Impact_Slash_01","/Game/Assets/ARPGEssentials/Effects/NS_ARPGEssentials_Explosion_01.NS_ARPGEssentials_Explosion_01","None"
