---,ResourceID,SkillIcon,SpawnVFX,SpawnSFX,TrailVFX,ImpactVFX,ImpactSFX
1,"RESOURCE_ARROW","/Game/Assets/BlackStromAsset/UI/CommonUI/Img_Arrow06.Img_Arrow06","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Potion.NS_Potion","/Game/Assets/Sci-Fi_Shots_Pack2_Game_Of_Weapons/UsbaleWave/SciFi_Shot_P2__122_.SciFi_Shot_P2__122_","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Dark_Solo_Impact.NS_Dark_Solo_Impact","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/Sperate_VFX/NS_Magma_Shot_Projectile.NS_Magma_Shot_Projectile","/Game/Assets/Sci-Fi_Shots_Pack2_Game_Of_Weapons/UsbaleWave/SciFi_Shot_P2__140_.SciFi_Shot_P2__140_"
2,"RESOURCE_FIREBALL","/Game/Assets/BlackStromAsset/UI/CommonUI/Ico_Chinfo_Type_Fire.Ico_Chinfo_Type_Fire","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Gelmir_Wizard_Impact.NS_Gelmir_Wizard_Impact","/Game/Assets/Sci-Fi_Shots_Pack2_Game_Of_Weapons/UsbaleWave/SciFi_Shot_P2__110_.SciFi_Shot_P2__110_","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Gelmir_Wizard_Impact.NS_Gelmir_Wizard_Impact","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Gelmir_Fury.NS_Gelmir_Fury","/Game/Assets/Sci-Fi_Shots_Pack2_Game_Of_Weapons/UsbaleWave/SciFi_Shot_P2__180_.SciFi_Shot_P2__180_"
3,"RESOURCE_ICEBALL","/Game/Assets/BlackStromAsset/UI/Icon/Icon_Skill/Invaison_NaturalDisaster_02.Invaison_NaturalDisaster_02","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Magic_Bubbles.NS_Magic_Bubbles","/Game/Assets/Sci-Fi_Shots_Pack2_Game_Of_Weapons/UsableCue/SciFi_Shot_P2__110__Cue.SciFi_Shot_P2__110__Cue","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Potion.NS_Potion","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Big_Hammer_Impact.NS_Big_Hammer_Impact","/Game/Assets/Sci-Fi_Shots_Pack2_Game_Of_Weapons/UsbaleWave/SciFi_Shot_P2__139_.SciFi_Shot_P2__139_"
4,"RESOURCE_LIGHTNING","/Game/Assets/BlackStromAsset/UI/SceneBattle/Ingame/Common/Ico_Chinfo_Type_Lightning.Ico_Chinfo_Type_Lightning","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Lightning_Owner_Cast.NS_Lightning_Owner_Cast","/Game/Assets/Sci-Fi_Shots_Pack2_Game_Of_Weapons/UsbaleWave/SciFi_Shot_P2__110_.SciFi_Shot_P2__110_","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Lightning_Owner_Cast.NS_Lightning_Owner_Cast","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Lightning_Strike.NS_Lightning_Strike","/Game/Assets/Sci-Fi_Shots_Pack2_Game_Of_Weapons/UsbaleWave/SciFi_Shot_P2__168_.SciFi_Shot_P2__168_"
5,"RESOURCE_PIERCE","None","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Dark_Solo_Impact.NS_Dark_Solo_Impact","/Game/Assets/Sci-Fi_Shots_Pack2_Game_Of_Weapons/UsbaleWave/SciFi_Shot_P2__101_.SciFi_Shot_P2__101_","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Potion.NS_Potion","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Dark_Owner_Cast_Spell.NS_Dark_Owner_Cast_Spell","/Game/Assets/Sci-Fi_Shots_Pack2_Game_Of_Weapons/UsbaleWave/SciFi_Shot_P2__114_.SciFi_Shot_P2__114_"
6,"RESOURCE_HOMING_ARROW","None","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Potion.NS_Potion","/Game/Assets/Sci-Fi_Shots_Pack2_Game_Of_Weapons/UsbaleWave/SciFi_Shot_P2__122_.SciFi_Shot_P2__122_","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Dark_Solo_Impact.NS_Dark_Solo_Impact","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/Sperate_VFX/NS_Magma_Shot_Projectile.NS_Magma_Shot_Projectile","/Game/Assets/Sci-Fi_Shots_Pack2_Game_Of_Weapons/UsbaleWave/SciFi_Shot_P2__140_.SciFi_Shot_P2__140_"
7,"RESOURCE_INSTANT_HEAL","None","None","None","None","None","None"
8,"RESOURCE_DURATION_HEAL","None","None","None","None","None","None"
9,"RESOURCE_DEBUFF_POISON","None","None","None","None","None","None"
10,"RESOURCE_ENEMY_RANGED_SHOOT","None","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Magic_Big_Bubbles_Owner_Cast.NS_Magic_Big_Bubbles_Owner_Cast","None","None","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Lightning_Owner_Cast.NS_Lightning_Owner_Cast","None"
11,"RESOURCE_RAPIDSLASH","/Game/Assets/BlackStromAsset/UI/EventSeasonPass/Writer/Frm_SoulPassGoods_003.Frm_SoulPassGoods_003","/Game/Assets/Knife_light/VFX/NE_attack_WriterSkill.NE_attack_WriterSkill","None","None","None","None"
12,"RESOURCE_ATTACK_DEMONIA","None","None","None","None","None","None"
13,"RESOURCE_ATTACK_ENCHANTER","None","None","None","None","None","None"
14,"RESOURCE_ATTACK_GUARD","None","None","None","None","None","None"
15,"RESOURCE_ATTACK_LOOTER","None","None","None","None","None","None"
16,"RESOURCE_ATTACK_MUZZLE","None","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Shattering_Crystal_Owner_Cast.NS_Shattering_Crystal_Owner_Cast","None","None","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Magma_Shot_Owner_Cast_Spell.NS_Magma_Shot_Owner_Cast_Spell","None"
17,"RESOURCE_ATTACK_THINKER","None","None","None","None","None","None"
18,"RESOURCE_BLOODPOOL","/Game/Assets/BlackStromAsset/UI/EventSeasonPass/Nurse/Frm_SoulPassGoods_003.Frm_SoulPassGoods_003","/Game/Assets/sA_BloodMagic_1/Fx/OptimizedEmissive/NS_Wave.NS_Wave","None","None","/Game/Assets/sA_BloodMagic_1/Fx/OptimizedEmissive/NS_SmokySphere.NS_SmokySphere","None"
